Nama Kos,Lokasi,Fasilitas,Ratings,Harga per Bulan
Kost Yoga Trianto Tipe B,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,950000
Kost No 3 Tipe A,Lowokwaru,"WiFi, Kasur",,850000
Kost Mahasiswa Gajayana Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,500000
Kost Cengger Ayam Dalam Tipe A,Lowokwaru,"WiFi, Kloset Duduk, Kasur",,650000
Kost Pak Jumain I,Lowokwaru,"Kasur, Akses 24 Jam",,500000
Kost Suhat 1 Tipe A,Lowokwaru,"K. Mandi Dalam, Kloset Duduk, Kasur",,1000000
Kost Pak Guntur,Lowokwaru,"Kasur, Akses 24 Jam",,450000
Kost Putra Pisang Kipas,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,500000
Kost Muslim Diah Tipe A,Lowokwaru,"WiFi, Kasur",,700000
Kost Ibu Susi,Lowokwaru,"Kasur, Akses 24 Jam",,550000
Kost Rino,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,600000
Kost Griya Sengguruh,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,750000
Kost Letsu Go Reguler,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,500000
Kost Papa Biru 12,Lowokwaru,"WiFi, Kloset Duduk, Kasur",,750000
Kost Bu Sari,Lowokwaru,"WiFi, Kasur",,650000
Kost Sederhana,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,500000
Kost Borobudur 1 Tipe A,Blimbing,"WiFi, Kasur",,500000
Kost Papa,Lowokwaru,"Kloset Duduk, Kasur, Akses 24 Jam",,400000
Kost Pak Ahmad,Lowokwaru,"Kasur, Akses 24 Jam",,520000
Kost Hendar Kalasan Tipe A,Blimbing,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",5.0,900000
Kost Pak Cipto Tipe A,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,450000
Kost Paman Gober Tipe B,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,850000
Kost Sumbersari 93,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,650000
Kost Sambas House Tipe A,Klojen,"K. Mandi Dalam, WiFi, AC, Kloset Duduk, Kasur, Akses 24 Jam",,1000000
Kost Wafi 35B Tipe A,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,500000
Kost Cengger Ayam Tipe B,Lowokwaru,"WiFi, Kasur",,750000
Kost 301,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,900000
Kost 54 Bening Tipe C,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,700000
Kost Dulurku Boarding House,Lowokwaru,"K. Mandi Dalam, WiFi, Kasur, Akses 24 Jam",,1000000
Kost Joyo 60,Lowokwaru,"WiFi, Kloset Duduk, Kasur, Akses 24 Jam",,585000
Kost Cakra Kaktus,Lowokwaru,"Kloset Duduk, Kasur, Akses 24 Jam",,800000
Kost Prisma 1,Lowokwaru,"WiFi, Kasur, Akses 24 Jam",,500000
